,0,1
87,"[[7, '포 나이트 게임'], [7, '페트로프 디펜스'], [7, '피어츠 디펜스'], [7, '알레킨 디펜스'], [7, '스톤월 어택'], [7, '콜 시스템'], [7, '인디언 디펜스'], [7, '모던 베노니'], [7, '벵코 갬빗 (볼가 갬빗)'], [7, '님조-인디언 디펜스'], [7, '퀸스 인디언 디펜스'], [7, '카탈란 오프닝'], [7, '그룬펠드 디펜스'], [7, '킹스 인디언 디펜스 (KID)']]",17
88,"[[4, '루이 로페즈']]",17
89,"[[5, '벵코 갬빗 (볼가 갬빗)']]",16
90,"[[3, '필리도어 디펜스'], [3, '피어츠 디펜스']]",16
91,"[[6, '포 나이트 게임'], [6, '비엔나 게임'], [6, '피어츠 디펜스'], [6, '님조-인디언 디펜스'], [6, '그룬펠드 디펜스'], [6, '킹스 인디언 디펜스 (KID)']]",16
92,"[[6, '킹스 인디언 어택 (KIA)']]",16
93,"[[6, '킹스 인디언 어택 (KIA)']]",16
94,"[[4, '루이 로페즈']]",16
95,"[[5, '포 나이트 게임'], [5, '페트로프 디펜스'], [5, '피어츠 디펜스'], [5, '알레킨 디펜스'], [5, '스톤월 어택'], [5, '콜 시스템'], [5, '인디언 디펜스'], [5, '모던 베노니'], [5, '벵코 갬빗 (볼가 갬빗)'], [5, '님조-인디언 디펜스'], [5, '퀸스 인디언 디펜스'], [5, '카탈란 오프닝'], [5, '그룬펠드 디펜스'], [5, '킹스 인디언 디펜스 (KID)']]",16
96,"[[6, '킹스 인디언 어택 (KIA)']]",15
97,"[[3, '스칸디나비안 디펜스'], [3, '클로즈드 게임'], [3, '퀸스 갬빗'], [3, '퀸스 갬빗 수락 (QGA)'], [3, '퀸스 갬빗 거절 (QGD)'], [3, '슬라브 디펜스'], [3, '스톤월 어택'], [3, '콜 시스템'], [3, '모던 베노니'], [3, '벵코 갬빗 (볼가 갬빗)'], [3, '그룬펠드 디펜스']]",15
98,"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",15
