,1,2,3,0
d4,f5,Nc3,d6,1
d4,f5,Nc3,d5,1
d4,d5,Nf3,Bg4,1
d4,d5,Bg5,Bg4,1
c4,e5,Nc3,g6,1
c4,f5,Nf3,Nf6,1
d3,d5,Nd2,Nf6,1
d3,c5,g3,g6,1
d3,Nf6,Nf3,g6,1
d3,Nf6,Nc3,g6,1
d3,Nf6,Nc3,d5,1
d3,Nc6,e3,g6,1
c4,g6,e4,Bg7,1
c4,g6,d4,c5,1
c4,g6,Nf3,c5,1
c4,g6,Nc3,c5,1
c4,g6,Nc3,Nf6,1
c4,f5,g3,Nf6,1
c4,f5,Nc3,e5,1
d4,d5,Bf4,f6,1
c4,e6,g3,g6,1
c4,e6,d4,Nf6,1
c4,e6,b3,d5,1
c4,e6,Nc3,b6,1
c4,e5,g3,h5,1
c4,e5,g3,f5,1
c4,e5,g3,c5,1
c4,e5,g3,Be7,1
c4,e5,d3,g6,1
c4,e5,a3,c6,1
c4,e5,a3,Nf6,1
c4,e5,Nf3,d6,1
d3,d5,Nd2,e5,1
d3,d5,Nf3,c5,1
d3,e5,Nf3,Nc6,1
d3,e5,e3,Nf6,1
d4,d5,Bf4,Na6,1
d4,c6,c4,Nf6,1
d4,c6,Nf3,d5,1
d4,c6,Bf4,d5,1
d4,c5,e3,d5,1
d4,c5,d5,f5,1
d4,c5,c4,cxd4,1
d4,b6,Bf4,Bb7,1
d4,b5,e4,a6,1
d4,b5,e3,a6,1
d4,a6,e4,b5,1
d4,Nf6,g4,Nxg4,1
d4,Nf6,g3,e6,1
d4,Nf6,f4,g6,1
d4,Nf6,c4,Bg7,1
d4,Nf6,Nf3,c6,1
d4,Nf6,Nf3,b5,1
d4,Nf6,Bg5,c6,1
d4,Nf6,Bf4,c6,1
d4,Nf6,Bf4,b5,1
d4,Nc6,e3,d5,1
d4,Nc6,c4,e5,1
d4,Nc6,Nf3,d6,1
d4,Nc6,Bg5,h6,1
d3,g6,g3,f5,1
h4,d5,Nf3,Nf6,1
