,1,2,3,4,5,0
c4,e5,Nc3,Nf6,g3,d5,7
e4,e5,Nc3,Nc6,Bc4,Nf6,7
e4,d5,exd5,Nf6,Bb5+,Bd7,7
Nf3,d5,g3,g6,c4,dxc4,7
d4,c5,d5,e5,e4,d6,7
d4,d5,Nc3,Nf6,Bf4,c5,7
c4,Nf6,Nf3,e6,g3,d5,7
e4,e5,Nc3,Nf6,d4,exd4,7
d4,Nf6,Nf3,d5,e3,e6,7
e4,c5,Nf3,Nc6,Nc3,d6,7
d4,Nf6,Nf3,e6,g3,b5,7
d4,Nf6,c4,c6,Nf3,d5,7
e4,c5,Nf3,a6,d4,cxd4,7
d4,Nf6,Bg5,e6,e4,h6,7
e4,c5,Nf3,e6,d3,d5,7
c4,e5,g3,c6,Nf3,e4,7
Nf3,c5,c4,Nc6,Nc3,Nf6,7
e4,c5,c3,d5,exd5,Nf6,7
d4,d5,c4,dxc4,Nf3,a6,7
Nf3,c5,c4,Nc6,Nc3,e5,7
e4,c5,c3,e6,d4,cxd4,7
d4,d5,Nf3,Nf6,g3,Bf5,7
d4,g6,c4,Bg7,Nf3,d6,7
Nf3,c5,c4,Nc6,Nc3,g6,7
d4,d5,Nf3,e6,c4,Nf6,7
e4,b6,d4,Bb7,Bd3,e6,7
d4,d6,c4,e5,Nc3,exd4,7
d4,Nf6,Bg5,g6,Bxf6,exf6,7
Nf3,d5,c4,c6,g3,Nf6,7
d4,Nf6,Bg5,Ne4,Bf4,c5,7
d4,e6,c4,b6,a3,Bb7,7
e4,c5,Nf3,e6,Nc3,Nc6,7
d4,Nf6,Bf4,d5,Nf3,c5,7
d4,d6,Nf3,g6,g3,Bg7,7
Nf3,Nf6,g3,d5,Bg2,Bf5,7
e4,e6,d4,d5,Nd2,h6,7
d4,Nf6,Bg5,d5,e3,e6,7
Nf3,c5,g3,g6,Bg2,Bg7,7
d4,d6,e4,Nf6,Nc3,g6,7
Nf3,g6,e4,Bg7,d4,d6,6
Nf3,Nf6,c4,c5,Nc3,d5,6
e4,c5,Nf3,e6,b3,Nf6,6
d4,Nf6,Nf3,d5,c4,c6,6
d4,d5,Nf3,Nf6,g3,e6,6
c4,c5,Nf3,Nc6,d4,cxd4,6
